,Prod_ID,Material_Desc,Noun,Modifier,long_description,short_description,Manufacturer,Ref_no,exception,ACTION,AMPERAGE,API MATERIAL CLASS,API PERFORMANCE REQUIREMENT,API PRODUCT SPECIFICATION LEVEL,API TEMPERATURE CLASS,APPLICATION,APPROXIMATE LIFE HOURS,ARBOR,BALANCE,BASE,BLADE DIAMETER,BLOCK MATERIAL,BODY MATERIAL,BODY SIZE,BOLT HOLES,BOND/BACKING,BORE,BOTTOM CONNECTION,BOTTOM RATING,BOTTOM SIZE,BRAKE,BRISTLE MATERIAL,BRISTLE SIZE,BULB,CABLE LENGTH,CAGE MATERIAL,CAPACITANCE,CAPACITY,CAPILLARY LENGTH,CARTRIDGE,CASE MATERIAL,CASING MATERIAL,CELLS,CHART TRAVEL,CHOKE TYPE,CIRCUIT,CLASS,CLOSURE,COIL VOLTAGE,COILS,COLOR,COMPOSITION,CONDUCTOR SIZE,CONFIGURATION,CONNECTION,CONNECTION LOCATION,CONNECTION MATERIAL,CONNECTOR,CONTACT,CONTACT ARRANGEMENT,CONTAINER,CONTAINS A,CONTAINS B,CONTAINS C,CONTAINS D,CONTAINS E,CONTAINS F,CONTENT A,CONTENT B,CONTENT C,CONTENT D,CYLINDER,DEGREE,DESIGN DETAIL,DESIGN LENGTH,DESIGN RATING,DESIGNATION,DIAL,DIAL SIGNAL,DIAL SIZE,DIAMETER,DISPLACEMENT,DRIVER,DURATION,ELECTRICAL RATING,ELEMENT,ELEMENT MATERIAL,ENCLOSURE,ENDS,FILLED,FILLER MATERIAL,FILTERING RETENTION,FORM,FORMAT,FRAME,FREQUENCY,FUNCTION,GEAR RATIO,GRADE,GRADUATIONS,GRIT,GROOVE,HANDLE,HANDLE LENGTH,HANDLE MATERIAL,HEAD,HEAD ANGLE,HEAD MATERIAL,HEAD WEIGHT,HOUSING MATERIAL,I/O CAPACITY,INDUSTRY STANDARD,INLET CONNECTION,INLET SIZE,INNER RING MATERIAL,INSERT/LINING MATERIAL,INSERTION LENGTH,INSIDE DIAMETER,INTERNAL MATERIAL,INTERRUPTING RATING,JUNCTION,KEYS,KVA RATING,LENGTH,LINE,LOAD RATING,LOCATION,LUBRICATION,LUMENS,MATERIAL,MAXIMUM OVERALL LENGTH,MESH SIZE,MOUNT,NA,NACE STANDARD,NAME,NEMA/IEC,NEMA/IP RATING,NOMINAL SIZE,NUMBER OF GEARS,NUMBER OF VANES,OPENING DIAMETER,OPERATED,OPERATING VOLTAGE,OPERATION,OPERATOR,ORIFICE SIZE,OUTER RING MATERIAL,OUTLET CONNECTION,OUTLET SIZE,OUTPUT RATING,OUTSIDE DIAMETER,PARENT EQUIPMENT,PERFORATION SIZE,PHASE,PIPE SIZE,PITCH,PITCH DIAMETER,POLE,PORT,POSITION,POWER,POWER SOURCE,PRESSURE RANGE,PRESSURE RATING,PRIMARY VOLTAGE,PROBE DIAMETER,PROCESS,PROTOCOL,PUMP SIZE,PUMP STYLE,QTY,RADIAL CLEARANCE,RADIUS,RANGE,RATING,READOUT,REFRIGERANT,RESISTANCE,ROW,RPM RATING,SCALE,SCOPE,SEAL MATERIAL,SECONDARY VOLTAGE,SECTIONS,SERIES,SERVICE,SERVICE FACTOR,SET PRESSURE,SHAFT SIZE,SHANK,SHAPE,SHEATH DIAMETER,SHEATH MATERIAL,SHELF LIFE,SIZE,SIZE/CONNECTION,SKILLS REQUIRED,SOFTGOODS,SPECIFICATION,SPEED,SPOUT,STANDARDS,STEM LENGTH,STRUCTURE,STYLE,SUPPLY,SUPPLY RATING,TAPER,TAPER SIZE,TAPS,TASK EXCLUDE,TASK INCLUDE,TECHNIQUE,TEETH,TEMPERATURE RANGE,TEMPERATURE RATING,TERMINAL,TERMINATIONS,THICKNESS,THREADS,THRUST,TIP DIAMETER,TOLERANCE,TOP CONNECTION,TOP RATING,TOP SIZE,TRAVEL,TRIM,TUBE DIAMETER,TUBE LENGTH,TUBE MATERIAL,TURNS,TYPE,UOM,VALVE SIZE,VALVE STYLE,VIALS,VISIBLE LENGTH,VOLTAGE,VOLUME/CONTAINER,WATTAGE,WEIGHT,WIDTH,WINDING MATERIAL,WIRE,WIRE DIAMETER,WIRE SIZE,WORK WEIGHT
0,1000,"MONITOR, SYSTEM 3300/03
SERIAL DATA INTERFACE
DYNAMIC DATA INTERFACE
MANUFACTURER: BENTLY NEVADA
MFR.PART NO: 3300/03-03-00
EQUIPMENT MFR: ELECTROMACH BV
SERIAL NO: ZG648840
PO: P-2171-005-AAS
EQUIP.MODEL NO: SIH03/VM-01/VM-2",MONITOR,NO MODIFIER,"*** MONITOR , NO MODIFIER *** 

","MONITOR , NO MOD:",ELECTROMACH,"3300/03-03-00
",SYSTEM 3300/03 SERIAL DATA INTERFACE DYNAMIC DATA INTERFACE : BENTLY NEVADA : : BV SERIAL : ZG648840 PO : P-2171-005-AAS EQUIP.MODEL : SIH03/VM-01/VM-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
1,1001,"40-CONTROL PROCESSOR
FOR TMR/DCS SYSTEM
MANUFACTURER: FOXBORO
MFR.PART NO: P0960JA
EQUIP.MODEL NO: ME32","CONTROL
PROCESSOR
SYSTEM",NO MODIFIER,,,FOXBORO,"P0960JA
",40-CONTROL PROCESSOR FOR TMR/DCS SYSTEM : : EQUIP.MODEL : ME32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1002,"PACKING
SET OF 2 PIECES
MATERIAL: GRAPHITE
FOR BALL VALVE,SIZE: 12INx10IN,CL300
MANUFACTURER: KITZ
MAN PART NO: 9119-9845-48
MFR.MODEL NO: 977118-01
MFR.DRAWING NO: 855-013784,
POS.NO: 45A,B,C,D,E,F",PACKING,NO MODIFIER,"*** PACKING , NO MODIFIER *** 

MATERIAL : GRAPHITE
","PACKING , NO MOD: GRAPHITE",KITZ,"977118-01
",SET OF 2 PIECES FOR BALL VALVE SIZE 12INX10IN CL300 MAN 9119-9845-48 MFR.DRAWING 855-013784 POS.NO 45A B C D E F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAPHITE,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
3,1003,"ROTOR CONTAINER FOR FRAME 6
MANUFACTURER: GE
MFR.PART NO: 7C86J61
EQUIP.MODEL NO: MS 6001 B",ROTOR,NO MODIFIER,"*** ROTOR , NO MODIFIER *** 

","ROTOR , NO MOD:",GE,"7C86J61
",CONTAINER FOR FRAME 6 : : EQUIP.MODEL : MS 6001 B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
4,1004,"AIR CIRCUIT BREAKER
AEROMAT
TYPE: WITHDRAW
NO OF POLES: 3
CURRENT: 1000A
FREQUENCY RATING:50/60HZ
INSULATION VOLT: 1000VAC
OPERATIONAL VOLT: 690VAC
AMBIENT TEMP: 40°
SHORT TIME WITHSTAND CURRENT:
1SEC 65KA,3SEC 30KA
WITHOUT OVER-CURRENT RELEASE
CONFIRM TO STANDARD: IEC 947-2
MANUFACTURER: HOLEC-HH
MFR.PART NO: 3309002
MODEL NO: AE1000-SS
EQUIP.MODEL NO: CAPITOLE 40
TYPICAL EQUIP.SERIAL NO: G97U10219","AIR
CIRCUIT
BREAKER
NO",CIRCUIT,,,HOLEC,"3309002
",AIR CIRCUIT BREAKER AEROMAT TYPE : WITHDRAW OF POLES : 3 CURRENT : 1000A FREQUENCY RATING:50/60HZ INSULATION VOLT : 1000VAC OPERATIONAL VOLT : 690VAC AMBIENT TEMP : 40° SHORT TIME WITHSTAND CURRENT : 1SEC 65KA 3SEC 30KA WITHOUT OVER-CURRENT RELEASE CONFIRM TO STANDARD : IEC 947-2 : HOLEC-HH : MODEL : AE1000-SS EQUIP.MODEL : CAPITOLE 40 TYPICAL EQUIP.SERIAL : G97U10219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1005,"MATERIAL,STUDBOLT: ASTM A193 GR.B7
MATERIAL,NUT: ASTM A194 GR.2H
THREAD,STUDBOLT: ASME B1.1, 8UNC, 2A
THREAD,NUT: HEAVY HEXAGONAL, 8UNC, 2B
NO.OF NUTS: 2
HARDNESS: AS PER ASTM A193
INSPECTION CERTIFICATE: ISO 10474-3.1B
MARKING,STUDBOLT: GRADE AND CERTIFIER'S
INDENTIFICATION SYMBOLS SHALL BE APPLIED TO
ONE END OF STUD 3/8IN DIA AND LARGER(IF
THE AVAILABLE AREA IS INADEQUATE,THE GRADE
SYMBOL MAY BE MARKED ON ONE END AND THE
CERTIFIER'S IDENTIFICATION SYMBOL
MARKED ON THE OTHER END)
NOMINAL DIA: 1IN
LENGTH: 170MM",MATERIAL,NO MODIFIER,"*** MATERIAL , NO MODIFIER *** 

","MATERIAL , NO MOD:",NA,NA,STUDBOLT : ASTM A193 GR.B7 NUT : ASTM A194 GR.2H THREAD STUDBOLT : ASME B1.1 8UNC 2A THREAD NUT : HEAVY HEXAGONAL 8UNC 2B NO.OF NUTS : 2 HARDNESS : AS PER ASTM A193 INSPECTION CERTIFICATE : ISO 10474-3.1B MARKING STUDBOLT : GRADE AND CERTIFIER'S INDENTIFICATION SYMBOLS SHALL BE APPLIED TO ONE END OF STUD 3/8IN DIA AND LARGER ( IF THE AVAILABLE AREA IS INADEQUATE THE GRADE SYMBOL MAY BE MARKED ON ONE END AND THE CERTIFIER 'S IDENTIFICATION SYMBOL MARKED ON THE OTHER END ) NOMINAL DIA : 1IN LENGTH : 170MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
6,1006,"CURRENT TRANSFORMER
GS-CT
RATING: 3A/14.5A
MANUFACTURER: ITI
MFR.PART NO: GFM-200
EQUIPMENT MFR: POWELL-ELECT
EQUIP.MODEL NO: 7337-02",TRANSFORMER,NO MODIFIER,"*** TRANSFORMER , NO MODIFIER *** 

RATING : 3A/14.5A
","TRANSFORMER , NO MOD: 3A/14.5A",POWELL,"GFM-200
",CURRENT GS-CT ITI POWELL-ELECT EQUIP.MODEL 7337-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,NA,,,,,,,,,,3A/14.5A,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
7,1007,"LINEAR PLUG
GV03,STD,UN,T/N2.62
MATERIAL: SUS440C
FOR VALVE,RATING: CL300
MANUFACTURER: YKV-VALTEK
MFR.PART NO: 001949.157.0008057
YKV KITZ PART NO: C421-7X11-50
EQUIP.MODEL NO: MK1-36-15
EQUIP.SERIAL NO: VHC98702-03-9
EQUIP.TAG NO: 92TV-3
ORIGINAL PO: P-2374-001-A","PLUG
STD
MATERIAL",NO MODIFIER,,,KITZ,"001949.157.0008057
",LINEAR PLUG GV03 STD UN T/N2.62 MATERIAL : SUS440C FOR VALVE RATING : CL300 : YKV-VALTEK : YKV : C421-7X11-50 EQUIP.MODEL : MK1-36-15 EQUIP.SERIAL : VHC98702-03-9 EQUIP.TAG : 92TV-3 ORIGINAL PO : P-2374-001-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1008,"FLAT RING GASKET
INNER DIAMETER: 39MM
OUTER DIAMETER: 52MM
THICKNESS: 2.5MM
MATERIAL: AFM 34
FLANGE FACING: RAISED FACE
DESIGN SPECIFICATIONS: ASME B16.21
MANUFACTURER: UNION PUMP
MFR.PART NO: 617A0620001T51000
EQUIPMENT MFR: FLOWTRONEX
EQUIP.MODEL NO: DX-5-1X2-1/4","RING
GASKET",NO MODIFIER,,,FLOWTRONEX,"617A0620001T51000
",FLAT RING GASKET INNER DIAMETER : 39MM OUTER DIAMETER : 52MM THICKNESS : 2.5MM MATERIAL : AFM 34 FLANGE FACING : RAISED FACE DESIGN SPECIFICATIONS : ASME B16.21 : UNION PUMP : : EQUIP.MODEL : DX-5-1X2-1/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1009,"CHECK VALVE
MANUFACTURER: PARKER
MFR.PART NO: 3-283-2-G5
EQUIPMENT MFR: CATERPILLAR
EQUIP.MFR.PART NO: 4W8761
EQUIP.MODEL NO: CAT-3616
VENDOR: MHD A AL- BAHAR
TEST CERTIFICATE: EN 10204- 3.1","VALVE
NO",CHECK,,,CATERPILLAR,"3-283-2-G5
4W8761
",CHECK VALVE : PARKER : : : EQUIP.MODEL : CAT-3616 VENDOR : MHD A AL- BAHAR TEST CERTIFICATE : EN 10204- 3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
