CITY,,,SUB REGION,,,id_outlet,
Kota Banda Aceh,1,,North West (Sumatra),1,,89339-HAN-DESA PASAWAHANKIDUL-PASAWAHAN-PURWAKARTA,110001
Kota Pematang Siantar,2,,Central West (Sumatra),2,,89337-IMI-DESA SAWIT-DARANGDAN-PURWAKARTA,110002
Greater Medan (Medan + Lubuk Pakam),3,,South West (Sumatra),3,,89336-YUD-DESA SUKATANI-SUKATANI-PURWAKARTA,110003
Pekanbaru,4,,Inner Jabo,4,,89334-AIS-DESA MARANCANG-BABAKANCIKAO-PURWAKARTA,110004
Batam,5,,Outer Jabo,5,,89332-EMM-DESA SALEM-PONDOKSALAM-PURWAKARTA,110005
Padang,6,,West Java,6,,89331-HIL-DESA SALEM-PONDOKSALAM-PURWAKARTA,110006
Kota Jambi,7,,Central Java,7,,89330-TIK-DESA BOJONG BARAT-BOJONG-PURWAKARTA,110007
Kota Bengkulu,8,,East 1,8,,89329-AFI-DESA BOJONG BARAT-BOJONG-PURWAKARTA,110008
Lampung,9,,East 2,9,,89328-SYA-DESA SUKAMANAH-BOJONG-PURWAKARTA,110009
Palembang,10,,Kalimantan,10,,89327-AFD-DESA SUKAMANAH-BOJONG-PURWAKARTA,110010
Babel (Bangka + Belitung),11,,Sulawesi,11,,89326-AMA-DESA CIBOGOHILIR-PLERED-PURWAKARTA,110011
Jakarta Barat,12,,,,,89324-MAN-DESA MEKARGALIH-JATILUHUR-PURWAKARTA,110012
jakarta Pusat,13,,,,,89323-ESE-DESA MEKARGALIH-JATILUHUR-PURWAKARTA,110013
Jakarta Selatan,14,,Outlet Size,,,89321-PAM-DESA MEKARGALIH-JATILUHUR-PURWAKARTA,110014
Jakarta Timur,15,,Small (5 - 10 mio/month),1,,89318-ILA-DESA MARANCANG-BABAKANCIKAO-PURWAKARTA,110015
Jakarta Utara,16,,Medium (> 10 -  20 mio/month),2,,89316-ZID-DESA PALINGGIHAN-PLERED-PURWAKARTA,110016
Bekasi,17,,Large (> 20 - 30 mio/month,3,,89315-H2F-DESA SUKATANI-SUKATANI-PURWAKARTA,110017
Kota Depok,18,,X-Large (> 30 mio/month),4,,89313-SAL-DESA MEKARGALIH-JATILUHUR-PURWAKARTA,110018
Kab. Bekasi (kota cikarang)&Kab. Karawang,19,,,,,89312-CIA-DESA CIANTING-SUKATANI-PURWAKARTA,110019
Kab. Pandeglang&Kab. Lebak,20,,,,,89311-EXP-DESA DARANGDAN-DARANGDAN-PURWAKARTA,110020
Kab. Tangerang,21,,,,,89310-JAJ-DESA NAGRAK-DARANGDAN-PURWAKARTA,110021
Tangerang,22,,Outlet Branding,,,89309-RIZ-DESA NAGRAK-DARANGDAN-PURWAKARTA,110022
Serang,23,,XL’s Branding,1,,89308-AB -DESA BABAKANSARI-PLERED-PURWAKARTA,110023
BSKB (Bogor + Sukabumi),24,,Indosat’s Branding,2,,89306-ZAL-DESA SUKATANI-SUKATANI-PURWAKARTA,110024
Kab. Indramayu,25,,Telkomsel’s Branding,3,,89305-DWI-DESA SUKATANI-SUKATANI-PURWAKARTA,110025
Kab. Bandung,26,,Others Branding,4,,89303-RAF-PURWAMEKAR-PURWAKARTA-PURWAKARTA,110026
Tasikmalaya,27,,Non-Branding,5,,89302-DIK-NAGRI KALER-PURWAKARTA-PURWAKARTA,110027
Bandung,28,,,,,89301-KEM-NAGRI KALER-PURWAKARTA-PURWAKARTA,110028
Cirebon,29,,,,,22810-IKH-SEPANJANG-GLENMORE-BANYUWANGI,110029
Purwakarta,30,,Outlet Branding,,,22809-HAR-BANGOREJO-BANGOREJO-BANYUWANGI,110030
Yogyakarta,31,,Traditional Market,1,,22807-BUN-JAMBEWANGI-SEMPU-BANYUWANGI,110031
Semarang,32,,School and University area,2,,22806-AND-TULUNGREJO-GLENMORE-BANYUWANGI,110032
Tegal,33,,Local Bus Terminal,3,,22805-ARU-KEBONDALEM-BANGOREJO-BANYUWANGI,110033
Pekalongan,34,,Trading center for non-cellular phone commodities,4,,22804-CAK-GINTANGAN-ROGOJAMPI-BANYUWANGI,110034
Solo,35,,Government’s Institute Housing,5,,22803-HR -BLIMBINGSARI-ROGOJAMPI-BANYUWANGI,110035
Kab. Banyumas,36,,Less crowded settlement,6,,22802-MEG-BEDEWANG-SONGGON-BANYUWANGI,110036
Kab. Bantul,37,,In the Mall/shopping center area,7,,22801-DIK-SEMPU-SEMPU-BANYUWANGI,110037
Kota Madiun,38,,Crowded Settlement  ,8,,81421-GIB-TULUNGAGUNG-KERTASEMAYA-INDRAMAYU,110038
Kota Malang,39,,Around mall/shopping center area,9,,81419-ANG-TULUNGAGUNG-KERTASEMAYA-INDRAMAYU,110039
Kab. Sidoarjo,40,,Train Station-Inter-CITYbus terminal,10,,81416-DZA-TULUNGAGUNG-KERTASEMAYA-INDRAMAYU,110040
Surabaya,41,,,,,81415-ALV-BONDAN-SUKAGUMIWANG-INDRAMAYU,110041
Madura,42,,,,,81414-NK -CIBEBER-SUKAGUMIWANG-INDRAMAYU,110042
Banyuwangi Jember,43,,Type of pack,,,81413-NAI-SINDANGKERTA-LOHBENER-INDRAMAYU,110043
Kab. Buleleng,44,,Voucher Elektronik - Pulsa,1,,81412-DEA-LEUWIGEDE-WIDASARI-INDRAMAYU,110044
Kab. Gianyar,45,,Voucher Elektronik - Paket Internet,2,,81408-FIT-MUNDU-KARANGAMPEL-INDRAMAYU,110045
Kab. Lombok Timur,46,,Voucher Elektronik - Paket SMS,3,,81407-BIN-KARANGAMPEL-KARANGAMPEL-INDRAMAYU,110046
Kab. Sumbawa,47,,Kartu Perdana - regular,4,,81405_R1-DIS-SINGAJAYA-INDRAMAYU-INDRAMAYU,110047
Mataram,48,,Kartu Perdana - data,5,,81404-TIY-JAYALAKSANA-KEDOKAN BUNDER-INDRAMAYU,110048
Denpasar,49,,Voucher Fisik - Pulsa,6,,81403-ORI-TAMBI-SLIYEG-INDRAMAYU,110049
Kota Pontianak,50,,Voucher Fisik - Paket Internet,7,,81402-EKA-TUKDANA-TUKDANA-INDRAMAYU,110050
Kota Palangkaraya,51,,,,,986114_R1-IRF-SUKAJAYA-PURBARATU-TASIKMALAYA,110051
Balikpapan,52,,,,,986113_R1-STY-PURBARATU-PURBARATU-TASIKMALAYA,110052
Banjarmasin,53,,Type,,,81130-HAU-CIKALANG-TAWANG-TASIKMALAYA,110053
Makassar,54,,Reload,1,,81129-KOM-KARANG ANYAR-KAWALU-TASIKMALAYA,110054
Manado,55,,Data Inject,2,,81128-RIZ-TANJUNG-KAWALU-TASIKMALAYA,110055
Kendari,56,,Starter Pack,3,,81127-VAN-CIBEUTI-KAWALU-TASIKMALAYA,110056
,,,,,,81125-R2-1121-CIPEDES-CIPEDES-TASIKMALAYA,110057
,,,,,,81124-HRM-LINGGAJAYA-MANGKUBUMI-TASIKMALAYA,110058
,,,Operator,,,81123-R1-MJ-SUKAMULYA-BUNGURSARI-TASIKMALAYA,110059
,,,XL Axiata,1,,81122-NB -SUKAJAYA-PURBARATU-TASIKMALAYA,110060
,,,Indosat Ooredoo,2,,81121-HIL-SINGKUP-PURBARATU-TASIKMALAYA,110061
,,,Telkomsel,3,,81120-JAK-PURBARATU-PURBARATU-TASIKMALAYA,110062
,,,3 (THREE),4,,81119-G J-ARGASARI-CIHIDEUNG-TASIKMALAYA,110063
,,,SMARTFREN,5,,81118-WEN-ARGASARI-CIHIDEUNG-TASIKMALAYA,110064
,,,Bolt,6,,81117_R1-CAK-TUGURAJA-CIHIDEUNG-TASIKMALAYA,110065
,,,,,,81116-ALY-TUGURAJA-CIHIDEUNG-TASIKMALAYA,110066
,,,,,,81115_R1-AYY-ARGASARI-CIHIDEUNG-TASIKMALAYA,110067
,,,Brand,,,81114_R2-BHO-TUGURAJAI-CIHIDEUNG-TASIKMALAYA,110068
,,,AXIS,1,,81113-HOT-TAWANGSARI-TAWANG-TASIKMALAYA,110069
,,,XL PRABAYAR,2,,81112-OUT-SAMBONGPARI-MANGKUBUMI-TASIKMALAYA,110070
,,,IM3,3,,81111-DON-CIPARI-MANGKUBUMI-TASIKMALAYA,110071
,,,MENTARI,4,,81109-HAR-MANGKUBUMI-MANGKUBUMI-TASIKMALAYA,110072
,,,SIMPATI,5,,81108_R1-DUT-SAMBONGPARI-CMANGKUBUMI-TASIKMALAYA,110073
,,,KARTU AS,6,,81107-IN -TAMANSARI-TAMANSARI-TASIKMALAYA,110074
,,,LOOP,7,,81106-BAD-SUKAHURIP-TAMANSARI-TASIKMALAYA,110075
,,,3 (THREE),8,,81105-R1-BOR-AWIPARI-CIBEUREUM-TASIKMALAYA,110076
,,,SMARTFREN,9,,81104-R1-NAD-AWIPARI-CIBEUREUM-TASIKMALAYA,110077
,,,Bolt,10,,81103-ALF-CIAKAR-CIBEUREUM-TASIKMALAYA,110078
,,,,,,81102-KON-PANYINGKIRAN-INDIHIANG-TASIKMALAYA,110079
,,,,,,81101-MED-PANYINGKIRAN-INDIHIANG-TASIKMALAYA,110080
,,,,,,981106_R1-RIN-NYOMPLONG-WARUDOYONG-SUKABUMI,110081
,,,,,,80127_R1-444-GUNUNGPARANG-CIKOLE-SUKABUMI,110082
,,,,,,80126-TRI-GUNUNGPARANG-CIKOLE-SUKABUMI,110083
,,,,,,80124-OE -NYOMPLONG-WARUDOYONG-SUKABUMI,110084
,,,,,,80122_R1-BSM-DAYEUHLUHUR-WARUDOYONG-SUKABUMI,110085
,,,,,,80120-SAL-BAROS-BAROS-SUKABUMI,110086
,,,,,,80119-CAL-BAROS-BAROS-SUKABUMI,110087
,,,,,,80118_R2-RAH-CIKONDANG-CITAMIANG-SUKABUMI,110088
,,,,,,80117-PUT-CITAMIANG-CITAMIANG-SUKABUMI,110089
,,,,,,80116-MAN-JAYARAKSA-BAROS-SUKABUMI,110090
,,,,,,80115-PUT-JAYARAKSA-BAROS-SUKABUMI,110091
,,,,,,80114-RIC-BENTENG-WARUDOYONG-SUKABUMI,110092
,,,,,,80108-IND-NYOMPLONG-WARUDOYONG-SUKABUMI,110093
,,,,,,80107-NUS-TIPAR-CITAMIANG-SUKABUMI,110094
,,,,,,80106-HOK-JAYAMEKAR-BAROS-SUKABUMI,110095
,,,,,,80105-RAF-BAROS-BAROS-SUKABUMI,110096
,,,,,,80102-KIN-CITAMIANG-CITAMIANG-SUKABUMI,110097
,,,,,,87015-JAF-BOJONGKUNCI-PAMEUNGPEUK-BANDUNG,110098
,,,,,,87014-R1-GAL-GANDASARI-SOREANG-BANDUNG,110099
,,,,,,87013_R3-UZM-PASAWAHAN-DAYEUHKOLOT-BANDUNG,110100
,,,,,,87012_R1-UMI-PANYOCOKAN-CIWIDEY-BANDUNG,110101
,,,,,,87011_R1-DEL-SOREANG-SOREANG-BANDUNG,110102
,,,,,,87009-RUR-CILAME-KUTAWARINGIN-BANDUNG,110103
,,,,,,87008-YH -GAJAH MEKAR-KUTAWARINGIN-BANDUNG,110104
,,,,,,87007-DOD-CIBODAS-PASIRJAMBU-BANDUNG,110105
,,,,,,87006-WID-CIWIDEY-CIWIDEY-BANDUNG,110106
,,,,,,87004-CEZ-MAGAHAYU SELATAN-MARGAHAYU-BANDUNG,110107
,,,,,,87003_R1-CAH-BANYUSARI-KATAPANG-BANDUNG,110108
,,,,,,87002-AGI-CANGKUANG-CANGKUANG-BANDUNG,110109
,,,,,,87001-DUT-SANGKANHURIP-KATAPANG-BANDUNG,110110
,,,,,,86046-ALI-PEKALANGAN-PEKALIPAN-CIREBON,110111
